Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,days_since_join,Age
Graduation,Together,43462.0,1,1,90,17,97,15,6,15,6,4,1,5,8,No,No,No,No,No,No,No,727,62
PhD,Single,54880.0,1,0,308,85,137,102,45,118,2,6,2,11,5,No,No,No,No,No,No,No,702,36
Graduation,Married,79908.0,0,0,557,129,761,29,185,111,1,5,6,7,2,No,No,Yes,No,No,No,No,581,32
2n Cycle,Married,15315.0,0,0,7,4,13,15,8,17,2,2,0,4,5,No,No,No,No,No,No,No,638,44
Graduation,Together,87771.0,0,1,1492,38,287,50,57,33,1,5,10,4,6,No,Yes,Yes,Yes,Yes,No,Yes,563,55
Graduation,Married,33039.0,1,0,30,8,12,8,8,12,1,2,0,4,5,No,No,No,No,No,No,No,453,36
Graduation,Single,81741.0,0,0,249,153,940,58,134,38,0,6,6,7,2,No,No,No,No,No,No,No,538,34
Master,Together,71499.0,0,1,465,25,132,136,0,37,2,8,3,13,4,No,No,No,No,No,No,No,529,43
2n Cycle,Married,62466.0,0,1,129,129,259,168,121,83,5,6,3,12,4,No,No,No,No,No,No,No,325,44
PhD,Divorced,48799.0,0,1,174,18,81,28,6,24,3,3,2,7,3,No,No,No,No,No,No,No,574,51
PhD,Together,52157.0,0,1,189,2,29,3,2,40,2,3,2,5,4,No,No,No,No,No,No,No,153,64
Graduation,Single,66565.0,0,1,747,10,161,65,40,42,4,4,2,9,8,No,No,No,No,No,No,No,938,52
Master,Together,29298.0,1,1,6,0,2,2,0,1,1,1,0,2,5,No,No,No,No,No,No,No,515,63
Graduation,Single,47691.0,0,1,14,0,3,0,0,4,1,1,0,2,6,No,No,No,No,No,No,No,578,35
Graduation,Together,38200.0,1,1,12,0,4,0,0,1,1,1,0,2,7,No,No,No,No,No,No,No,877,44
Graduation,Married,44989.0,0,1,98,0,106,49,10,106,5,5,1,5,6,No,No,No,No,No,No,No,727,40
PhD,Married,38443.0,1,1,32,0,5,0,0,1,2,1,0,3,7,No,No,No,No,No,No,No,313,46
2n Cycle,Single,38593.0,1,0,51,12,49,17,24,24,3,4,1,3,8,No,No,No,No,No,No,No,449,36
PhD,Together,64413.0,0,1,200,5,44,0,10,20,1,5,1,5,5,No,No,No,No,No,No,No,697,44
Master,Married,36959.0,1,0,25,6,25,6,0,0,2,2,0,3,8,No,No,No,No,No,No,No,664,33
PhD,Married,61996.0,0,1,1050,12,144,0,0,24,3,6,4,8,5,No,Yes,No,Yes,Yes,No,Yes,674,37
Graduation,Married,51287.0,1,1,117,0,22,13,0,30,3,4,1,3,7,No,No,No,No,No,No,No,336,46
Graduation,Married,13260.0,1,1,9,4,17,10,2,7,4,3,0,3,8,No,No,No,No,No,No,No,470,44
PhD,Together,47472.0,1,1,56,0,11,0,0,8,2,2,0,4,5,No,No,No,No,No,No,No,446,48
Master,Together,54603.0,1,1,145,13,46,17,2,4,6,4,2,4,7,No,No,No,No,No,No,No,455,58
PhD,Married,45207.0,1,1,203,0,10,0,0,2,5,3,1,6,6,No,Yes,No,No,No,No,No,786,40
Graduation,Together,40689.0,0,1,270,3,27,39,6,99,7,7,1,5,8,No,No,No,No,No,No,No,628,63
2n Cycle,Together,47821.0,1,1,9,0,16,6,6,10,1,1,0,3,8,No,No,No,No,No,No,No,412,47
Master,Married,27450.0,0,0,37,12,23,8,11,52,1,2,1,3,7,No,No,No,No,No,No,No,600,63
Graduation,Together,39453.0,1,0,46,0,7,0,0,2,2,2,0,3,6,No,No,No,No,No,No,No,277,31
2n Cycle,Together,26850.0,1,1,31,1,13,7,2,9,4,2,1,4,4,No,No,No,No,No,No,No,232,43
Graduation,Widow,79800.0,0,0,1060,21,530,32,0,224,1,5,11,5,3,Yes,No,Yes,Yes,No,No,Yes,804,59
Master,Married,61794.0,0,1,264,47,188,54,47,11,2,4,4,10,2,No,No,No,No,No,No,No,448,53
Graduation,Together,53863.0,0,1,399,4,30,6,4,30,3,7,1,7,7,No,Yes,No,No,No,No,No,203,59
Graduation,Together,24221.0,0,0,8,9,9,2,5,22,1,1,1,3,4,No,No,No,No,No,No,No,473,55
PhD,Single,39684.0,1,0,19,0,35,6,4,17,2,2,1,2,7,No,No,No,No,No,Yes,Yes,726,30
Master,Married,92163.0,0,0,817,183,797,106,163,20,0,5,11,5,2,No,No,Yes,Yes,No,No,Yes,724,39
Master,Single,69882.0,0,0,292,127,635,132,127,165,1,3,7,9,1,No,No,No,No,No,No,No,421,49
Graduation,Together,33178.0,1,0,12,6,2,11,2,16,1,1,0,3,4,No,No,No,No,No,No,No,310,37
PhD,Married,59973.0,0,0,130,30,168,20,34,0,1,3,4,7,1,No,No,No,No,No,No,No,392,42
Master,Together,17459.0,1,0,6,4,16,3,10,30,3,3,1,2,7,No,No,No,No,No,No,Yes,443,39
Graduation,Divorced,23910.0,1,0,16,12,18,7,1,13,1,2,0,3,7,No,No,No,No,No,No,No,771,45
Master,Married,42169.0,1,1,19,0,9,0,0,2,2,1,0,3,8,No,No,No,No,No,No,No,413,45
2n Cycle,Married,26224.0,1,0,4,7,15,13,9,15,3,2,1,3,6,No,No,No,No,No,No,No,609,36
Graduation,Together,31089.0,1,0,31,3,31,2,8,4,3,3,0,4,8,No,No,No,No,No,No,No,841,33
Graduation,Single,30081.0,0,1,36,0,2,0,0,4,1,1,0,3,7,No,No,No,No,No,No,No,653,53
Graduation,Together,62807.0,0,1,526,28,135,10,21,99,3,5,3,12,5,No,No,No,No,No,No,No,827,54
Graduation,Single,72906.0,0,0,400,32,519,71,75,54,1,3,4,9,1,No,No,No,No,No,No,No,445,59
PhD,Married,61467.0,0,2,410,16,114,0,5,49,3,5,2,10,5,No,No,No,No,No,No,No,815,66
Master,Together,49618.0,1,1,80,3,26,4,2,14,4,3,1,3,7,No,No,No,No,No,No,No,679,48
Master,Single,21888.0,1,0,88,10,46,2,3,64,4,5,1,2,10,No,No,No,No,No,No,Yes,707,28
Graduation,Widow,42429.0,0,1,55,0,6,2,0,4,2,1,1,3,5,No,No,No,No,No,No,No,34,41
Graduation,Divorced,26150.0,2,1,5,1,13,3,5,1,1,1,0,3,7,No,No,No,No,No,No,No,398,58
Basic,Married,30801.0,0,1,8,4,5,15,2,11,2,1,0,3,7,No,No,No,No,No,No,No,771,39
Graduation,Married,81168.0,0,0,410,0,592,147,22,22,1,6,4,7,3,No,No,No,Yes,No,No,No,154,49
Master,Single,26877.0,0,0,101,13,76,20,18,40,2,3,1,6,6,No,No,No,No,No,No,No,474,45
Master,Widow,45006.0,0,0,162,25,53,16,0,10,1,3,1,7,3,No,No,No,No,No,No,No,506,70
Basic,Married,18978.0,1,0,2,8,1,4,7,15,1,1,0,3,8,No,No,No,No,No,No,No,754,41
Graduation,Married,22574.0,2,1,25,0,8,2,0,2,2,2,0,3,7,No,No,No,No,No,No,No,404,47
PhD,Single,48240.0,0,0,389,91,248,64,49,41,3,6,3,13,5,No,No,No,No,No,No,Yes,816,45
Graduation,Married,45837.0,1,1,215,13,87,17,17,24,5,6,2,5,7,No,No,No,No,No,No,No,498,40
Master,Single,35791.0,2,1,27,0,5,0,0,3,2,1,0,3,8,No,No,No,No,No,No,No,549,49
PhD,Together,162397.0,1,1,85,1,16,2,1,2,0,0,0,1,1,No,No,No,No,No,No,No,640,38
Graduation,Widow,54162.0,1,1,5,6,10,6,5,10,1,1,0,3,4,No,No,No,No,No,No,No,628,36
Master,Married,30522.0,0,1,179,8,83,19,11,26,5,1,2,9,2,No,No,No,No,No,No,No,841,54
PhD,Married,54456.0,0,1,352,0,27,10,0,15,3,6,1,7,6,No,No,No,No,No,No,No,394,53
Graduation,Single,31632.0,0,0,17,8,12,11,15,32,1,2,1,2,7,No,No,No,No,No,No,No,510,43
Graduation,Widow,72298.0,0,0,625,35,169,58,17,35,1,4,3,6,1,No,Yes,Yes,No,No,No,No,64,65
2n Cycle,Single,36975.0,1,0,10,6,11,0,4,2,1,1,0,3,7,No,No,No,No,No,No,No,343,36
2n Cycle,Married,72635.0,0,0,390,22,323,104,35,107,1,6,8,6,3,No,No,No,Yes,No,No,No,640,59
Graduation,Married,13624.0,1,0,10,2,15,2,1,6,2,2,0,3,6,No,No,No,No,No,No,No,685,38
Graduation,Single,84196.0,0,1,215,63,507,231,31,190,1,8,4,7,3,No,No,No,No,No,No,No,640,39
Graduation,Together,70971.0,0,1,1001,17,572,93,125,17,7,11,11,5,7,No,No,No,No,No,No,Yes,806,54
PhD,Divorced,34487.0,1,1,19,18,33,24,1,8,3,3,0,3,9,No,No,No,No,No,No,No,910,37
Graduation,Single,28769.0,1,0,41,5,129,10,3,3,3,4,1,4,9,No,No,No,No,No,No,No,718,37
PhD,Married,69084.0,1,0,1181,107,199,39,30,30,2,7,3,13,8,No,No,No,No,No,No,No,382,44
PhD,Together,65488.0,0,0,603,45,207,36,18,54,1,3,4,6,1,No,No,No,No,No,No,No,176,56
2n Cycle,Married,62466.0,0,1,129,129,259,168,121,83,5,6,3,12,4,No,No,No,No,No,No,No,325,44
2n Cycle,Single,32218.0,0,0,10,24,15,13,1,30,1,2,1,3,7,Yes,No,No,No,No,No,Yes,294,54
Graduation,Single,83917.0,0,0,514,22,732,42,198,79,1,6,7,7,3,No,No,No,No,No,No,Yes,597,41
Graduation,Divorced,46102.0,2,1,14,0,1,0,0,1,1,1,0,2,7,No,No,No,No,No,No,No,64,52
Graduation,Single,84574.0,0,0,387,20,713,38,54,163,1,9,11,11,5,No,No,No,No,No,No,No,609,62
Graduation,Married,56181.0,0,1,121,103,69,8,44,48,1,4,2,7,4,No,No,No,No,No,No,No,492,52
Master,Divorced,63120.0,0,1,965,69,279,54,41,69,5,8,4,9,7,No,No,No,No,No,No,Yes,799,64
Graduation,Married,73691.0,0,1,707,21,250,85,43,73,2,6,2,8,2,Yes,No,No,No,No,No,No,543,43
Graduation,Together,63381.0,0,1,571,50,142,33,50,159,4,4,5,13,2,No,No,No,No,No,No,No,940,54
PhD,Together,76140.0,0,0,586,66,653,17,0,26,1,5,9,6,2,No,No,No,No,No,No,No,207,66
PhD,Divorced,62859.0,0,1,1063,89,102,16,12,25,4,9,4,6,6,No,No,No,No,No,No,No,706,55
Graduation,Single,45906.0,0,1,305,3,27,4,3,144,2,5,4,4,5,Yes,No,No,No,No,No,No,519,50
Master,Together,77632.0,0,0,1200,105,758,0,42,147,1,4,2,6,2,No,Yes,Yes,No,No,No,Yes,429,67
PhD,Married,46463.0,1,1,163,2,40,8,11,11,7,3,1,6,6,No,No,No,No,No,No,No,475,43
Graduation,Together,105471.0,0,0,1009,181,104,202,21,207,0,9,8,13,3,No,No,Yes,Yes,No,No,Yes,684,44
Master,Divorced,55282.0,1,0,125,6,73,8,4,19,1,3,1,6,4,No,No,No,No,No,No,No,358,44
Master,Married,78710.0,0,1,721,0,152,119,50,50,3,7,6,12,4,No,No,No,No,No,No,No,197,37
Graduation,Together,66886.0,0,1,315,4,62,41,31,146,2,7,1,7,5,No,No,No,No,No,No,No,446,56
Master,Single,98777.0,0,0,1000,19,711,125,115,38,0,4,6,9,1,No,Yes,No,No,No,No,No,292,54
Graduation,Together,29103.0,1,0,16,0,17,6,3,6,2,1,0,3,9,No,No,No,No,No,No,No,831,29
Graduation,Married,67445.0,0,1,757,80,217,29,80,11,5,9,6,12,6,No,No,No,No,No,No,No,728,40
PhD,Together,50616.0,0,1,30,2,25,0,1,9,1,1,1,4,2,No,No,No,No,No,No,No,237,64
Graduation,Divorced,49431.0,0,1,219,3,100,26,0,17,2,7,1,5,8,No,No,No,No,No,No,No,1003,59
Graduation,Divorced,153924.0,0,0,1,1,1,1,1,1,0,0,0,0,0,No,No,No,No,No,No,No,157,39
Graduation,Together,61278.0,0,1,111,3,28,2,6,15,2,3,1,4,6,No,No,No,No,No,No,No,249,61
2n Cycle,Together,26490.0,0,0,45,47,52,21,20,25,2,3,1,5,6,No,No,No,No,No,No,No,805,56
PhD,Together,73059.0,0,1,410,112,420,0,82,71,1,9,3,13,4,No,No,No,No,No,No,No,462,67
PhD,Single,46734.0,1,2,100,1,39,6,1,76,4,3,2,3,6,Yes,No,No,No,No,No,No,411,48
Graduation,Together,56253.0,0,1,509,0,65,7,11,5,4,7,2,9,6,No,No,No,No,No,No,No,877,51
Graduation,Married,19986.0,1,0,3,6,5,0,2,6,1,0,0,3,7,No,No,No,No,No,No,No,387,29
Graduation,Widow,58330.0,0,1,445,53,213,104,98,151,1,6,4,13,4,No,No,No,No,No,No,No,346,39
Basic,Married,25965.0,0,0,2,2,11,41,7,11,1,2,0,3,8,No,No,No,No,No,No,No,880,34
Master,Together,14661.0,0,0,4,1,11,6,2,2,1,1,0,3,6,No,No,No,No,No,No,No,704,58
Graduation,Married,18690.0,0,0,6,1,7,23,4,19,1,1,1,2,8,No,No,No,No,No,No,No,708,55
PhD,Together,45068.0,0,1,14,0,3,0,0,3,1,1,0,2,7,No,No,No,No,No,No,No,569,40
Basic,Single,21063.0,1,0,1,10,11,19,3,15,2,2,0,3,6,No,No,No,No,No,No,No,437,27
PhD,Married,29187.0,1,0,26,0,6,0,0,2,1,1,0,3,8,No,No,No,No,No,No,No,457,46
2n Cycle,Married,54690.0,1,1,111,16,37,7,9,18,3,3,1,5,3,No,No,No,No,No,No,No,513,43
PhD,Married,59304.0,0,1,418,61,428,80,51,10,3,7,8,10,5,No,No,No,No,No,No,No,495,50
Master,Single,59247.0,0,2,327,9,122,19,14,83,5,5,2,9,6,No,No,No,No,No,No,No,482,52
Graduation,Widow,66731.0,0,1,371,159,194,58,106,141,4,4,3,6,3,No,No,No,No,No,No,No,727,44
Graduation,Married,77353.0,0,1,275,59,107,69,101,59,2,6,4,8,4,No,No,No,No,No,No,No,355,34
PhD,Single,52614.0,0,1,789,0,142,12,9,38,2,2,4,8,8,No,No,No,No,No,No,No,1059,39
Graduation,Married,26751.0,2,0,1,1,5,0,3,1,1,1,0,2,8,No,No,No,No,No,No,No,198,40
PhD,Married,81300.0,0,1,1004,12,145,32,12,36,3,10,3,5,5,No,No,No,Yes,No,No,Yes,767,51
Graduation,Single,70337.0,0,0,187,81,149,25,43,91,1,2,2,12,1,No,No,No,No,No,No,No,308,35
2n Cycle,Married,36145.0,1,0,56,4,76,17,1,18,4,4,1,3,9,Yes,No,No,No,No,No,Yes,538,29
PhD,Single,65295.0,0,0,365,32,117,34,110,6,1,3,3,13,2,No,No,No,No,No,No,No,348,34
Graduation,Divorced,68118.0,0,1,595,23,123,10,23,154,2,8,9,4,6,No,No,No,No,No,No,No,414,51
Graduation,Divorced,68743.0,0,0,1132,134,384,175,134,115,1,11,5,13,7,No,No,No,No,No,No,No,828,47
2n Cycle,Together,41039.0,0,0,34,11,137,179,61,45,1,8,1,5,8,No,No,No,No,No,No,No,499,32
Graduation,Together,38946.0,0,1,116,6,82,6,6,41,2,3,1,6,5,No,No,No,No,No,No,No,408,59
Graduation,Together,65777.0,0,0,565,32,435,28,32,54,1,2,8,6,1,No,No,No,No,No,No,No,352,47
PhD,Divorced,66476.0,0,1,372,18,126,47,48,78,2,5,2,11,4,No,No,No,No,No,No,No,521,38
PhD,Single,86857.0,0,0,899,102,838,133,102,40,1,5,6,10,2,No,No,No,No,No,No,Yes,727,42
PhD,Married,160803.0,0,0,55,16,1622,17,3,4,15,0,28,1,0,No,No,No,No,No,No,No,972,32
PhD,Together,77845.0,0,0,760,40,480,0,40,26,1,3,5,12,1,No,No,Yes,Yes,No,No,No,204,25
PhD,Together,69476.0,0,0,260,86,559,63,9,67,1,4,6,4,2,No,No,No,No,No,No,No,432,45
PhD,Divorced,50611.0,0,1,459,0,24,6,0,4,6,4,5,7,6,No,Yes,No,No,No,No,Yes,970,54
Graduation,Single,61209.0,0,0,466,0,224,119,49,99,1,5,3,4,2,No,No,No,No,No,No,No,468,44
Master,Together,42315.0,0,1,67,15,80,17,11,80,3,1,4,4,3,No,No,No,No,No,No,No,364,56
Basic,Together,13084.0,0,0,2,0,7,3,7,10,1,1,0,3,6,No,No,No,No,No,No,No,663,62
Master,Widow,47570.0,1,1,67,1,20,0,2,31,3,2,2,2,7,No,No,No,No,No,No,Yes,556,65
Master,Married,61923.0,0,2,92,4,18,3,3,6,1,2,1,4,3,No,No,No,No,No,No,No,498,53
Graduation,Single,34824.0,0,0,4,2,11,2,0,4,1,1,0,2,6,No,No,No,No,No,No,No,255,19
PhD,Single,26518.0,1,1,20,1,28,3,3,2,3,2,0,3,8,No,No,No,No,No,No,Yes,489,65
Graduation,Single,45938.0,0,0,273,11,178,62,83,29,2,8,4,6,6,No,No,No,No,No,No,No,635,53
Graduation,Together,78468.0,0,0,434,22,388,104,22,34,1,10,7,10,4,No,No,No,Yes,No,No,No,93,54
Graduation,Divorced,78901.0,0,1,321,11,309,33,26,34,3,9,3,5,4,No,No,No,No,No,No,No,445,41
Graduation,Married,71427.0,2,0,212,123,177,15,64,23,2,8,2,8,4,No,No,No,No,No,No,No,3,36
Graduation,Divorced,71022.0,0,1,909,12,278,0,12,242,3,5,2,11,8,Yes,No,No,No,No,No,No,34,36
Master,Single,90247.0,0,0,1184,32,352,21,16,16,1,3,4,7,1,No,Yes,Yes,Yes,No,No,Yes,221,26
Master,Divorced,41335.0,1,0,112,19,21,16,14,5,3,4,1,4,7,No,No,No,No,No,No,No,345,46
Graduation,Married,71952.0,1,0,656,80,455,52,107,93,2,8,4,8,4,Yes,No,Yes,No,No,No,No,431,28
PhD,Divorced,35682.0,1,0,23,0,8,6,2,18,1,1,1,3,2,No,No,No,No,No,No,No,162,44
Graduation,Divorced,43185.0,0,1,537,6,42,16,6,30,2,9,3,6,8,No,No,No,No,No,No,No,428,63
PhD,Together,66375.0,0,1,712,0,45,0,0,191,3,2,4,5,7,Yes,No,No,No,No,No,No,380,66
Master,Married,35178.0,1,0,23,1,13,2,2,18,1,1,1,2,7,Yes,No,No,No,No,No,Yes,431,43
Graduation,Married,25252.0,1,0,1,3,4,2,2,6,1,1,0,2,8,No,No,No,No,No,No,No,364,28
Master,Single,55250.0,0,1,664,58,83,32,0,66,4,7,5,10,5,No,No,No,No,No,No,No,776,49
Graduation,Single,33249.0,1,0,6,10,21,19,14,42,2,2,1,3,6,No,No,No,No,No,No,No,654,39
Graduation,Together,58398.0,0,0,299,5,201,21,21,49,3,5,4,8,4,No,No,No,No,No,No,No,571,61
Graduation,Together,50272.0,1,0,99,13,66,43,8,4,3,4,1,5,7,No,No,No,No,No,No,No,516,32
PhD,Married,76618.0,0,0,749,40,294,121,160,147,1,3,2,5,1,No,No,No,No,No,No,No,877,39
2n Cycle,Divorced,87305.0,0,0,345,25,501,63,138,80,1,5,3,8,2,No,No,Yes,No,No,No,Yes,804,54
Graduation,Together,25851.0,1,0,9,4,18,7,5,5,2,2,0,3,7,No,No,No,No,No,No,No,399,36
Graduation,Divorced,58710.0,0,1,440,81,368,0,122,174,6,11,5,9,6,No,No,No,No,No,No,No,615,44
Graduation,Single,45160.0,1,1,8,2,5,3,0,3,1,1,0,2,7,No,No,No,No,No,No,No,252,56
Master,Married,74806.0,0,1,670,9,249,0,28,9,2,5,4,5,4,No,No,No,No,No,No,No,717,49
Graduation,Married,59111.0,0,0,524,0,134,28,28,155,1,11,1,8,7,No,No,No,No,No,No,No,669,60
PhD,Married,18988.0,1,0,6,0,6,2,1,1,2,1,0,3,7,No,No,No,No,No,No,No,197,30
Graduation,Married,72190.0,0,0,597,166,597,172,166,249,1,5,6,4,3,No,No,No,No,No,No,No,661,49
Graduation,Married,7500.0,1,0,7,0,12,13,7,32,5,4,1,2,9,Yes,No,No,No,No,No,Yes,1063,38
Graduation,Married,44794.0,0,1,54,0,7,0,0,4,1,2,0,3,6,No,No,No,No,No,No,No,122,48
Graduation,Married,80395.0,0,0,445,25,706,80,76,48,1,6,5,12,2,No,No,No,Yes,No,No,No,378,59
Master,Divorced,75012.0,0,0,294,142,218,164,58,151,1,3,8,11,1,No,No,No,No,No,No,No,315,38
Master,Married,56962.0,2,1,292,3,77,10,3,26,7,6,3,5,7,No,No,No,No,No,No,No,391,49
Graduation,Together,89891.0,0,0,412,22,132,59,28,183,1,11,6,8,4,No,No,Yes,No,No,No,No,600,23
PhD,Divorced,35946.0,1,1,8,0,3,0,0,0,1,0,0,3,5,No,No,No,No,No,No,No,435,65
PhD,Together,53593.0,1,1,349,4,78,6,0,43,8,7,2,6,8,No,No,No,No,No,No,No,881,61
Graduation,Married,66373.0,1,1,328,9,124,12,24,109,7,4,2,10,3,No,No,No,No,No,No,No,365,36
PhD,Divorced,45072.0,1,2,144,2,99,7,2,30,5,6,1,4,8,No,No,No,No,No,No,No,416,66
Graduation,Divorced,89694.0,1,1,1126,28,211,37,28,42,3,4,3,4,5,No,Yes,Yes,Yes,No,No,No,452,41
Graduation,Married,72025.0,0,0,967,0,617,43,50,0,1,4,8,13,2,No,Yes,Yes,Yes,No,No,Yes,221,65
Graduation,Married,67432.0,0,1,432,79,341,177,136,170,2,8,5,4,4,No,No,No,No,No,No,No,617,41
Master,Together,70545.0,0,1,138,39,63,55,18,21,1,4,1,7,2,No,No,No,No,No,No,No,275,62
Basic,Married,17487.0,1,0,0,0,1,7,4,6,1,1,0,2,7,No,No,No,No,No,No,No,628,25
Graduation,Together,62882.0,0,1,509,133,497,78,24,97,2,7,5,6,4,No,No,No,No,No,No,No,819,45
PhD,Single,64108.0,0,1,948,10,86,13,21,21,4,6,9,11,5,No,No,No,No,No,No,No,623,61
Master,Together,34941.0,1,1,39,2,25,4,3,24,2,3,0,3,8,No,No,No,No,No,No,No,551,58
PhD,Single,48767.0,1,2,28,1,21,3,0,10,3,2,1,3,5,No,No,No,No,No,No,No,339,64
2n Cycle,Together,38702.0,1,0,13,11,24,13,8,40,2,3,0,4,6,No,No,No,No,No,No,No,697,36
Graduation,Married,82224.0,0,0,307,26,360,138,31,40,1,6,9,5,3,No,No,No,Yes,No,No,No,315,50
Graduation,Together,83844.0,0,0,901,31,345,75,31,191,1,4,4,11,1,No,No,Yes,No,No,No,No,366,62
2n Cycle,Married,17003.0,1,0,2,5,12,4,8,7,3,2,0,4,5,No,No,No,No,No,No,No,450,39
Graduation,Single,71163.0,0,0,283,17,372,138,106,44,1,3,8,12,1,No,No,No,No,No,No,No,94,19
Graduation,Single,33697.0,1,0,4,3,7,0,3,11,1,1,0,2,7,Yes,No,No,No,No,No,No,447,44
2n Cycle,Married,63564.0,0,0,769,80,252,15,34,65,1,10,10,7,6,Yes,No,No,No,No,No,Yes,311,60
PhD,Together,83443.0,0,0,518,42,742,55,56,84,1,6,10,5,2,No,No,No,No,No,No,No,340,42
PhD,Together,51518.0,0,1,350,8,66,17,4,4,2,3,2,10,3,No,No,No,No,No,No,No,636,56
Graduation,Widow,58330.0,0,1,445,53,213,104,98,151,1,6,4,13,4,No,No,No,No,No,No,No,346,39
Graduation,Married,80952.0,0,0,778,178,689,41,27,44,1,8,5,11,8,No,Yes,Yes,Yes,No,No,Yes,646,45
Graduation,Together,75507.0,0,0,709,93,374,104,80,80,1,8,6,6,3,No,No,No,No,No,No,No,304,35
2n Cycle,Together,63855.0,0,0,359,35,314,93,116,89,1,7,3,13,4,No,No,No,No,No,No,No,460,36
PhD,Together,62220.0,0,1,799,12,375,16,12,12,5,7,6,5,6,No,No,No,No,No,No,Yes,758,42
Graduation,Married,58512.0,0,1,895,10,101,13,0,152,5,3,4,8,8,No,No,No,No,No,No,No,443,50
Master,Married,40662.0,1,0,40,2,23,0,4,23,2,2,1,3,4,No,No,No,No,No,No,No,631,35
PhD,Married,38829.0,0,1,76,0,7,0,0,16,1,3,2,2,5,No,No,No,No,No,No,No,185,55
2n Cycle,Married,35523.0,1,0,11,5,22,12,5,11,2,3,0,3,7,No,No,No,No,No,No,No,636,33
Graduation,Single,79146.0,1,1,245,16,223,21,43,16,2,8,1,8,6,No,No,No,No,No,No,No,226,47
Master,Married,78285.0,0,0,647,107,391,175,67,40,1,6,4,10,3,No,No,No,No,No,No,No,404,26
PhD,Single,31626.0,1,0,39,1,9,2,1,34,1,2,1,2,7,Yes,No,No,No,No,No,Yes,427,36
Graduation,Single,75127.0,0,0,203,35,305,46,17,227,1,2,11,5,1,No,No,No,No,No,No,No,198,62
Graduation,Married,48726.0,0,1,138,3,38,4,0,59,3,3,2,4,6,No,No,No,No,No,No,No,588,59
Graduation,Married,74985.0,0,0,587,51,898,247,0,86,1,3,6,7,2,No,No,No,No,No,No,No,757,37
Graduation,Together,67430.0,0,0,595,97,291,127,133,121,1,11,5,12,6,No,No,No,No,No,No,No,941,27
2n Cycle,Married,46891.0,0,1,43,12,23,29,15,61,1,2,1,4,4,No,No,No,No,No,No,No,696,49
Master,Married,62058.0,0,1,301,7,74,10,0,58,4,6,1,7,6,No,No,No,No,No,No,No,559,58
Graduation,Married,72063.0,0,1,180,32,348,76,32,90,2,5,2,12,2,No,No,No,No,No,No,No,639,35
PhD,Married,78939.0,0,0,794,115,243,150,0,205,1,8,5,6,3,No,No,No,No,No,No,No,359,63
Graduation,Single,42720.0,1,1,392,5,91,28,26,112,8,7,3,7,8,No,No,No,No,No,No,Yes,591,49
Graduation,Married,33622.0,1,1,39,1,22,3,4,12,3,2,0,4,7,No,No,No,No,No,No,No,602,42
PhD,Together,6835.0,0,1,107,2,12,2,2,12,0,0,0,1,20,No,No,No,No,No,No,No,846,57
Graduation,Together,41452.0,1,1,13,0,3,0,0,0,1,1,0,2,7,No,No,No,No,No,No,No,551,61
PhD,Single,40760.0,0,1,70,0,17,0,0,6,2,2,1,3,6,No,No,No,No,No,No,No,463,49
PhD,Together,74250.0,0,0,680,11,392,75,0,0,1,2,11,4,1,No,No,No,No,No,No,No,314,56
Master,Single,51124.0,1,1,26,1,11,0,1,4,2,1,0,3,3,No,No,No,No,No,No,No,353,59
Graduation,Single,72258.0,0,1,522,0,522,227,120,134,2,6,9,5,2,No,No,No,No,No,No,No,362,43
PhD,Single,71466.0,0,0,412,12,546,78,182,0,1,4,4,10,1,No,No,No,No,No,No,No,216,40
Graduation,Together,36283.0,1,1,6,5,5,8,0,5,2,1,0,3,4,No,No,No,No,No,No,No,236,38
Graduation,Single,20587.0,1,0,2,3,6,4,1,9,1,1,1,2,7,No,No,No,No,No,No,No,31,44
Graduation,Married,30467.0,1,0,1,3,8,2,5,5,1,1,0,2,7,No,No,No,No,No,No,No,262,42
Graduation,Together,31590.0,1,0,6,2,15,6,6,3,1,1,0,3,8,No,No,No,No,No,No,No,536,42
Basic,Married,20425.0,1,0,4,12,5,3,16,17,2,2,0,3,7,No,No,No,No,No,No,No,768,28
Master,Together,17144.0,1,1,18,2,19,0,2,6,5,3,0,4,7,No,No,No,No,No,No,No,294,54
PhD,Divorced,42564.0,0,1,324,48,186,39,18,198,6,6,8,4,7,Yes,No,No,No,No,No,Yes,673,46
Master,Married,43783.0,1,0,327,9,125,25,4,139,6,7,1,8,7,Yes,No,No,No,No,No,No,191,36
Graduation,Divorced,40780.0,0,1,229,27,71,13,3,34,4,7,1,5,9,No,No,No,No,No,No,No,849,38
Master,Together,62847.0,0,0,521,168,706,80,76,61,1,3,6,4,2,No,No,No,No,No,No,No,690,69
PhD,Married,82017.0,0,0,184,23,446,30,23,23,1,5,4,7,2,No,Yes,Yes,Yes,No,No,Yes,878,57
Graduation,Single,16813.0,0,0,4,8,11,12,2,13,1,2,0,3,7,Yes,No,No,No,No,No,No,505,64
Graduation,Married,51267.0,1,1,183,2,64,7,2,12,4,3,3,5,4,No,No,No,No,No,No,No,403,36
